id,title,authors,abstract,text,n_authors,len_title,len_abstract,len_text
http://arxiv.org/abs/cs/9810022v1,"Broy-Lamport Specification Problem: A Gurevich Abstract State Machine
  Solution",James K. Huggins,"We apply the Gurevich Abstract State Machine methodology to a benchmark
specification problem of Broy and Lamport.",broy lamport specification problem gurevich abstract state machine solution apply gurevich abstract state machine methodology benchmark specification problem broy lamport,1,9,17,20
http://arxiv.org/abs/cs/9810023v1,Equivalence is in the Eye of the Beholder,"Yuri Gurevich, James K. Huggins","In a recent provocative paper, Lamport points out ""the insubstantiality of
processes"" by proving the equivalence of two different decompositions of the
same intuitive algorithm by means of temporal formulas. We point out that the
correct equivalence of algorithms is itself in the eye of the beholder. We
discuss a number of related issues and, in particular, whether algorithms can
be proved equivalent directly.",equivalence eye beholder recent provocative paper lamport point insubstantiality process '' prove equivalence two different decomposition intuitive algorithm mean temporal formula point correct equivalence algorithm eye beholder discuss number relate issue particular whether algorithm prove equivalent directly,2,8,64,37
http://arxiv.org/abs/cs/9810024v1,Evolving Algebras and Partial Evaluation,"Yuri Gurevich, James K. Huggins","We describe an automated partial evaluator for evolving algebras implemented
at the University of Michigan.",evolve algebras partial evaluation describe automate partial evaluator evolve algebra implement university michigan,2,5,15,13
http://arxiv.org/abs/cs/9810025v1,An Offline Partial Evaluator for Evolving Algebras,James K. Huggins,"We describe the architecture of an evolving algebra partial evaluator, a
program which specializes an evolving algebra with respect to a portion of its
input. We discuss the particular analysis, specialization, and optimization
techniques used and show an example of its use.",offline partial evaluator evolve algebra describe architecture evolve algebra partial evaluator program specialize evolve algebra respect portion input discuss particular analysis specialization optimization technique use show example use,1,7,42,28
http://arxiv.org/abs/cs/9810026v1,"The Railroad Crossing Problem: An Experiment with Instantaneous Actions
  and Immediate Reactions","Yuri Gurevich, James K. Huggins","We give an evolving algebra solution for the well-known railroad crossing
problem and use the occasion to experiment with agents that perform
instantaneous actions in continuous time and in particular with agents that
fire at the moment they are enabled.",railroad crossing problem experiment instantaneous action immediate reaction give evolve algebra solution well know railroad crossing problem use occasion experiment agent perform instantaneous action continuous time particular agent fire moment enable,2,12,40,31
http://arxiv.org/abs/cs/9811007v1,Second Product Line Practice Workshop Report,"L. Bass, G. Chastek, P. Clements, L. Northrop, D. Smith, J. Withey","The second Software Engineering Institute Product Line Practice Workshop was
a hands-on meeting held in November 1997 to share industry practices in
software product lines and to explore the technical and non-technical issues
involved. This report synthesizes the workshop presentations and discussions,
which identified factors involved in product line practices and analyzed issues
in the areas of software engineering, technical management, and enterprise
management.",second product line practice workshop report second software engineering institute product line practice workshop hand on meeting hold november 1997 share industry practice software product line explore technical non technical issue involve report synthesize workshop presentation discussion identify factor involve product line practice analyze issue area software engineering technical management enterprise management,6,6,64,52
http://arxiv.org/abs/cs/9811011v1,Case Study in Survivable Network System Analysis,"Robert Ellison, Rick Linger, Thomas Longstaff, Nancy Mead","This paper presents a method for analyzing the survivability of distributed
network systems and an example of its application.",case study survivable network system analysis paper present method analyze survivability distribute network system example application,4,7,19,16
http://arxiv.org/abs/cs/9811014v1,Abstract State Machines 1988-1998: Commented ASM Bibliography,"Egon Boerger, James K. Huggins","An annotated bibliography of papers which deal with or use Abstract State
Machines (ASMs), as of January 1998.",abstract state machine 1988 1998 comment asm bibliography annotate bibliography paper deal use abstract state machine asm january 1998,2,7,18,19
http://arxiv.org/abs/cs/9902008v1,Managing Object-Oriented Integration and Regression Testing,Mario Winter,"Systematic testing of object-oriented software turned out to be much more
complex than testing conventional software. Especially the highly incremental
and iterative development cycle demands both many more changes and partially
implemented resp. re-implemented classes. Much more integration and regression
testing has to be done to reach stable stages during the development. In this
presentation we propose a diagram capturing all possible dependencies and
interactions in an object-oriented program. Then we give algorithms and
coverage criteria to identify integration resp. regression test strategys and
all test cases to be executed after some implementation resp. modification
activities. Finally, we summarize some practical experiences and heuristics.",manage object orient integration regression test systematic testing object orient software turn much complex testing conventional software especially highly incremental iterative development cycle demand many change partially implement resp re implemented class much integration regression testing do reach stable stage development presentation propose diagram capture possible dependency interaction object orient program give algorithm coverage criterion identify integration resp regression test strategys test case execute implementation resp modification activity finally summarize practical experience heuristic,1,6,104,73
http://arxiv.org/abs/cs/9903018v1,LuaJava - A Scripting Tool for Java,"Carlos Cassino, Roberto Ierusalimschy, Noemi Rodriguez","Scripting languages are becoming more and more important as a tool for
software development, as they provide great flexibility for rapid prototyping
and for configuring componentware applications. In this paper we present
LuaJava, a scripting tool for Java. LuaJava adopts Lua, a dynamically typed
interpreted language, as its script language. Great emphasis is given to the
transparency of the integration between the two languages, so that objects from
one language can be used inside the other like native objects. The final result
of this integration is a tool that allows the construction of configurable Java
applications, using off-the-shelf components, in a high abstraction level.",luajava scripting tool java scripting language become important tool software development provide great flexibility rapid prototype configure componentware application paper present luajava scripting tool java luajava adopt lua dynamically type interpret language script language great emphasis give transparency integration two language object one language use inside like native object final result integration tool allow construction configurable java application use off the shelf component high abstraction level,3,7,104,66
http://arxiv.org/abs/cs/9906030v1,SCR3: towards usability of formal methods,M. Chechik,"This paper gives an overview of SCR3 -- a toolset designed to increase the
usability of formal methods for software development. Formal requirements are
specified in SCR3 in an easy to use and review format, and then used in
checking requirements for correctness and in verifying consistency between
annotated code and requirements.
  In this paper we discuss motivations behind this work, describe several tools
which are part of SCR3, and illustrate their operation on an example of a
Cruise Control system.",scr3 towards usability formal method paper give overview scr3 -- toolset design increase usability formal method software development formal requirement specify scr3 easy use review format use checking requirement correctness verifying consistency annotate code requirement paper discuss motivation behind work describe several tool part scr3 illustrate operation example cruise control system,1,6,81,51
